"","text"
"7131","rt   washington dc  toronto  london protesters    streets  pres  immigration  "
"7132","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7133","   protect     kills  fiduciary rule "
"7134","rt  silicon valleys criticism    "
"7135"," struggling  reconcile  desire    pats win  super bowl   support    friend   idea  stealing"
"7136","rt       bleed    incentives  tv executives  hosts paid  revenues based    "
"7137","rt   guys  impersonation  spot    "
"7138","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"7139"," deregulation nation  silicon valley tackles immigration ban  macys buzz "
"7140"," youre spreading hate  connecting president       "
"7141","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7142","rt   foreign entanglements   grave concern  warrant investigation  dworkinreport "
"7143","rt   russian money poured    rented  iranian bank  funded terrorism irans nuclear program  "
"7144"," promised  unify  country     executive   appealed   core voter base hes   sign  reaching "
"7145","nato elite  defends putin  russia killings allegations "
"7146","rt     pay   wall      gop  proposing  "
"7147","rt   day   attacking  federal judges allegiance   country    morally equating america  revanchist russia"
"7148","  learning  checks  balances   constitution hes     telling     time  learned"
"7149","rt   majority saying  visit   cancelled    larger  brexit  referendum democracy"
"7150","rt   admit  lie  feed   fear  failurerejection  acknowledge   education feeds  sam "
"7151","rt   wont   conservatives defend  russia comment theyll  silent  theyll  theyd race  fox  condemn  dem"
"7152","     dick"
"7153","rt  watch   bannon  grim reaper   war  foreign leaders  snl  "
"7154","rt  nordstrom  officially cut ties  ivanka  brand  "
"7155","ap  cabinet pick paid  cultlike iranian exile   jongambrellap  "
"7156","   innumerable people calling    illegitimate president including   congress goosegander argument "
"7157","rt  horrific       fealty  russia  putin   dworkinreport trumpleaks "
"7158","rt   gop leadership  legislative branch  ceded  power   thankfully    branch  pi "
"7159","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"7160","rt   defends putin  super bowl interview    countrys  innocent  "
"7161","rt   administrations request  immediate administrative stay denied "
"7162","rt   avalanche  phone calls  thundering  capitol hill   senate considers   nominations "
"7163","rt  president  rolls  doddfrank  regulations protecting retirees hes  draining  swamp hes draining peoples pockets"
"7164","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7165","rt   administrations request  immediate administrative stay denied "
"7166","     call  supporters unneducated    clue    support democrats"
"7167","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"7168","rt    obama bush    world  "
"7169","alec baldwins     snl prepare    war  entertainment"
"7170","rt     memories  fail    lost  generation  voters amp  dont realize   trumprussia "
"7171","rt     trumpholes  try  explain   hypocrisy "
"7172","rt  germany portraying   isis   people   allies  started  world wars amp   refugee prog "
"7173","pls follow  alec baldwins     snl prepare    war  "
"7174","rt       march       weekly mental illness convention "
"7175","rt  wouldnt      gaga starts    anti  rhetoric  crowd drowns    boooos  ret "
"7176","rt   federal appeals court  refused  immediately reinstate  travel ban  people  seven countries "
"7177","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7178","rt      anti     super liberal bowl  fans   pretty pissed  "
"7179","rt  foxs oreilly    putins  killer  shrugged saying    country   innocent dont drink  tea folks"
"7180","putin called  killer   responds    countrys  innocent    wsj via "
"7181","   fans dont care   blind buffoons   shit  pants     clintonsobama"
"7182","rt  oreilly putins  killer    weve   lot  killers    thinkour countrys  innocent  "
"7183","rt     court  appeals denies dept  justices emergency motion  lift  travel ban restraining  "
"7184","rt   sells  retirees  wall street  removes protections  economic collapse "
"7185","rt  kristen stewarthumiliated   night  saturday night live    robert pattinson  snl  "
"7186","rt  watch dr phill destroys joy behar    comments  live tv  "
"7187","kuwait denies  imposed travel ban praised    "
"7188","rt      moral par  putins russia   history   president slandered  country    "
"7189","rt  experts social media giants fight  antiterror plan  providing platform  terrorists "
"7190"," gop   party  country    america choose actually  million voted   "
"7191","rt    admits curbing wall street regulations  help  friends "
"7192","rt  obscure websites published  fake story  kuwait  copying  ban  president facebooked    "
"7193","rt  milo  judge jeanine    withdraw funding  berkeley  breitbart "
"7194","rt      attacked hillary clinton overbut  currently    vogue  via "
"7195","rt  im  proud  girlucufef "
"7196","rt  hm   run  nlp analysis   tweets  chart grammatical complexity  time"
"7197"," yeah  talk    stuff"
"7198","switzerland   video introducing     country    words "
"7199","rt   nazis murdered sen schumers greatgrandmother     children   father  arrested   ku "
"7200","rt           sick  winning   lost  popular vote   lost   court tw "
"7201","rt        friend  mine        time  support   friends  tom bra "
"7202","rt   subversive democrats throwing  procedural hurdle  trumpbt  bleak     virtually powerles "
"7203","rt  unprecedented  unpresidential cnn security expert blasts  defense  putin   putin theresistance"
"7204","rt  florida residents  senator   blocking  nominees hes   reelection   call  office  "
"7205","rt  remember   faggots gangattacking  kid yesterday  wearing   hat whos laughing  bitch "
"7206","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7207","rt  snl goes     melissa mccarthy  sean spicer "
"7208","rt           snl   melissa mccarthy  sean spicer  theresistance resist "
"7209"," lol  luck getting              voted   hahaha "
"7210","rt   twitter rally  rt    support  djt  sunday feb th  super bowl half time   "
"7211","     okay  obama  equally bad   ignorant manipulative liar"
"7212","rt  yemen barely     presidential election   hear   administration views yemen   key test    im  "
"7213"," protestor  berlin holding  sign   demonstration opposing president  travel ban reddit "
"7214","rt  cant wait  hear   wing pundits rip       blame america  crowd "
"7215","rt  watch leftist rioters attack  supporters democratic party  uc berkeley staff allowing   happen law "
"7216","rt    cut federal funds   sanctuary cities"
"7217","rt  id  willing  overlook  lot    willing  bring  kenan  kel via executive "
"7218","rt  australia sucks prepare    war alec baldwin returns  snl   botching world leader calls "
"7219","rt  seattle judge  blocked  travel band supports black lives matter  "
"7220","rt    targeting    million people  deportation "
"7221","federal appeals court rejects request  immediate reinstatement     missclay via "
"7222"," time    sketch   totally roasted         dont   act outraged   enabled  "
"7223","rt  kristen stewart taking      homophobes       saved  play    funeral "
"7224","rt  whoa look   found   judge  blocked  travel ban  "
"7225","rt  breaking  appeals court rejects  administration request  immediately reinstate travel ban "
"7226","rt   commemorate black history month  administration decrees  white supremacists cant  terrorists "
"7227","antitrump protesters planning massive nationwide action   "
"7228","rt  florida residents  senator   blocking  nominees hes   reelection   call  office  "
"7229","rt                finger   tweet      "
"7230","    putin suggests  isnt  innocent "
"7231"," thats  excuse  defend putin  true   doesnt excuse    thats    "
"7232","rt   fans   muslimban ukip  british vc hero johnson beharry held   immigration "
"7233","rt  breakingliberal th circus rejects  appeal  reinstate immigration    bite  apple monday "
"7234","rt  superbowl    watch  super bowl amp    people   huddle  talking  himueric schneid "
"7235","rt  melissa mccarthy skewers sean spicer alec baldwin reprises  role bannon portrayed  grim reaper  snl "
"7236","oreilly told   putin   killer  reply    country   innocent "
"7237","appealscourt refuses  reinstate  travel ban   "
"7238","rt    era    companies  navigate  minefield "
"7239","rt   republicans wont rein     judiciary   "
"7240","federal judge temporarily blocks  travel ban   "
"7241","reuters kuwait denies  imposed travel ban praised     rfui"
"7242","rt  kafka wrote  orwell predicted   gonna sign "
"7243","rt  taxpayers  superhonored  contribute    costs  eric  trip  sell  condos  uruguay "
"7244","rt  middle school student attacked  bus  wearing  maga hat   schools suspends  video "
"7245","rt    cut federal funds   sanctuary cities"
"7246","rt  celebrity chef  calls  foodies  stand      quartz "
"7247","alec baldwins     snl prepare    war "
"7248","rt   tax payers  spending     vacation    melania  live   york    supporters "
"7249","rt   commemorate black history month  administration decrees  white supremacists cant  terrorists "
"7250","rt  im    hard time trying  understand  john mccain       "
"7251","rt  breaking    executive  "
"7252","   including  followers      supports putin     impeachable offense"
"7253","rt  oreilly calls putin  killer      lot  killers   via "
"7254","rt  fox aired interview excerpt  oreilly putin   killer       lot  killers    countrys  innocent"
"7255","rt  trumpmy family           picture   granpa "
"7256","rt  sky amazed   implies     killers similar  putin   obama administration dropped  bombs   "
"7257","rt    america va america pick   "
"7258","rt     learn    truth stated  washington ag bob ferguson      law  eve "
"7259","rt  theres   odd   lengths  goes   defend russia"
"7260","rt  notice    word attack   stands    taxpayer "
"7261","rt  exhibit  sold fl mansion  russianfor twice    paidm  dworkinreport resistance "
"7262","rt     court  appeals denies dept  justices emergency motion  lift  travel ban restraining  "
"7263"," real enemy  trumppencebannon  truth sales  orwells   skyrocketing truth  lies lies  truth"
"7264","rt    party  nominated   sarah palin       term extreme vetting"
"7265","appeals court denies  request  immediately reinstate travel ban  "
"7266","rt  federal appeals court rejects request  immediate reinstatement   travel ban "
"7267","rt  foxs oreilly    putins  killer  shrugged saying    country   innocent dont drink  tea folks"
"7268"," americans arent   embrace pres   cnn relentlessly portrays    hapless fool amp  bumbling idiot"
"7269","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7270","rt  cnn  morning wringing hands   deficit proposalswhere    obama  adding  trillion"
"7271","sanctuary san franciscos th court  appeals rejects  immigration request "
"7272","rt  look forward     shitfit  kristen stewart    hours "
"7273","rt  saturdaynightlive video melissa mccarthy   press sec sean spicer  amazing period "
"7274","rt  alec baldwin returns  president   hilarious snl cold   via "
"7275","   federal judge vs  travel ban "
"7276"," leaked  emails  helped   win  according  craig murray  former uk ambassador russia didnt  "
"7277","rt  president    create   hate   libs  exposed        angry mob  people"
"7278","rt  theres     billion chance    killed   refugee   supporters "
"7279","rt  kuwait denies  imposed travel ban praised    "
"7280","rt      easier   mentally ill  buy guns coal companies  pollute streams  wall st  screw  weeksin"
"7281","rt   cant  walk  stairs snl rips     relationship  steve bannon "
"7282","rt  de niro   punch  eminem raps  sex assaulting ann coulter   scum  society hates  youre   "
"7283","rt   appeals court rejected reinstating  muslim travel ban  snl  fun         hell angertweet  "
"7284","rt  sorry   asia doesnt         "
"7285","   imperfect vessel    soul   imperfect vessel  bannons ideas"
"7286","alec baldwins     snl prepare    war "
"7287","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7288","  unpatriotic        bad light "
"7289","rt  killers     attacked  integrity  america  defend vladimir putin brothers  sisters  aggression   stand"
"7290","rt  look forward     shitfit  kristen stewart    hours "
"7291","rt        told nothe realities  democratic checks  balances   power  drive  mad "
"7292","  statement  hope     thinking  neccessary  dicesion "
"7293","vicepresident defends  judge comments  "
"7294","rt  buzzfeed sued   publication  uncorroborated  dossier "
"7295","rt  rt   boys kissing     "
"7296","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"7297","rt    date   created  jobs helped     threatened    allies  soldiers  danger  insulted  races"
"7298","rt   flag records     sole beneficiary sole owner  trust set   address conflicts   "
"7299","rt  thousands protest   europe   travel ban  "
"7300","rt    reminds    church incident  hateful liberal hoax  "
"7301","rt  federal appeals court rejects request  immediate reinstatement   travel ban "
"7302","  president blasts federal judge  halted travel ban   "
"7303","rt  gorsuch  condemn  attack   judge "
"7304","rt   soros resistance anarchist  pissed   blocked immigration  countries  obama bombed   maga "
"7305","rt   travel ban sparks global protests   federal judge   blocked  controversial travel "
"7306","rt   ignore amp  block  twitter trolls dont engagethey  media amp  lawmakers false impression   support  viewers amp  constituents"
"7307"," theresistance    bonechilling tweet opinion "
"7308","rt   defends putin    country   innocent  "
"7309","rt  watch  compares  proposed weekly immigrant crime report  jewish crime report  nazi germany "
"7310","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"7311"," daily  tries    line   cause supporters  dump  video  "
"7312","rt  franklin graham   immigration policy people coming    embrace freedom  liberty  via "
"7313","  friend  italy  supposed   moving       crazy "
"7314","rt  macron   days  hold   trumpputin trolls assange  wikileaks  combined forces   fascis "
"7315","rt  worst    st pres   register total turdinthetoilet ratings      presidency "
"7316","rt  alecbaldwin  snl      favorite comedians    liked        "
"7317","rt   cabinet pick paid  cultlike iranian exile     "
"7318","rt      countrys  innocent  cnn "
"7319","rt  killers     attacked  integrity  america  defend vladimir putin brothers  sisters  aggression   stand"
"7320","rt   snl   night   steve bannon    calling  shots amp    real president "
"7321","president  probably isnt      fed    "
"7322","rt  isis  tossing gays  buildings   stonewall libtards  shrieking bc president    protec "
"7323","rt   religious devotion   dear leader     truly terrifying   watch authoritarianism "
"7324","    companies   cut ties    family  fucktrump"
"7325","rt  obama   boring    excitement        war  time  loses  shit   call   foreign leader"
"7326","   stephen king comparing weiner   theyre   planets king   stick  writing fiction"
"7327","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"7328","kuwait  denial   imposed travel ban praised   "
"7329","rt     ago please        maga hat  amazon       owe     liberals"
"7330","rt   appeals court  rejected   administrations request  immediately reinstate  immigration   "
"7331","    leader intimidates jails  kills opposition sitting   law impeachtrump stoppresidentbannon "
"7332","rt    possibly  wrong  electing   "
"7333"," haha  stay losing "
"7334","rt  appeals court denies request  immediate  bringing   travel ban  heh heh "
"7335","rt  watch   bannon  grim reaper   war  foreign leaders  snl  "
"7336","leader  alqaida  yemen mocks   raid "
"7337","  exactly        helping    "
"7338","rt   attempt  reinstate travel ban fails "
"7339","democrats    gorsuch   attack  judge skimic business news politics  "
"7340","rt      moral par  putins russia   history   president slandered  country    "
"7341","rt  twitter employees donate   million  aclu  battle  immigration ban  "
"7342","   remarks   bill oreilly   interview   air   super bowltrump  truth teller "
"7343","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"7344","rt    weeks  office    americans    impeached  alarming "
"7345","     antitrumpers perform  sb wtrump supporters tom bradykraft hypocrisy   libs boycotting bradypatriots"
"7346","rt    putin   person   world     criticized  dworkinreport trumpleaks resist theresistance trumprussia"
"7347","rt  experts social media giants fight  antiterror plan  providing platform  terrorists "
"7348","mashable  alec baldwins     snl prepare    war   "
"7349","president       packets  heroin mailed  hernando   "
"7350","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7351","rt   left   derangement syndrome  bad isis  announce  date   send soldiers  theyd   borders wide "
"7352","  jeez      little plump  fat shaming      "
"7353","rt  hey    wanna   youre   cunt "
"7354","rt   gop leadership  legislative branch  ceded  power   thankfully    branch  pi "
"7355","rt  breaking    executive  "
"7356","rt  elizabeth warren  progressives  congress  rousing call  arms    "
"7357","rt  breaking  court rejects immediate overturn  halt   travel ban via  "
"7358","rt  todays   john eastman   david hernandez  sag amp  kitty wallace  ubh "
"7359","rt   gop leadership  legislative branch  ceded  power   thankfully    branch  pi "
"7360","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"7361","rt         desperately  america   attacked  jihadis"
"7362","rt       reason     suspect   putins catspaw maybe      sooner   "
"7363","rt    supporter       equates   nation   tyrannical murderous nation   "
"7364","rt  rt   youre gay  hate    die  yuri  ice     "
"7365","rt  kuwait denies  imposed travel ban praised    "
"7366","rt  aclu cited giulianis statement        muslim ban legal  evidence  antimuslim intent "
"7367","rt   lapel pin  snls president    russian flag "
"7368","rt  breaking appeals court rejects  administrations request  restore travel ban  "
"7369","rt     tweet   "
"7370","jal confirms barring passengers   flights   entry     "
"7371","rt  betsy sharp daughter  woman  farm   saved tells  story  video  "
"7372","hipster kids believe  god  punkers   conservative  dick cheney  speaking    "
"7373","rt  kristen mocked       gay  snl monologue    fave "
"7374","  senators  presidents dont   killed    whos  naïve kay "
"7375","breaking  sedated  movie  russia  wh screening    overlyexcited chanting glad  vlad  kgb money  "
"7376"," hey    true "
"7377","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"7378","rt  appeals court rejects  request  restore immigration ban  "
"7379","rt                finger   tweet      "
"7380","rt  president peña watch    negotiations    impossible      straight  mexico standuptotrump"
"7381","rt      rid  animal welfare regulations   lead   abuse  death  dogs   mean cute  "
"7382","rt  homeland security confirms   travel ban   warns death  destruction   "
"7383","rt    baldwin       snl      time  beat    mile "
"7384","rt  kristen stewart taking      homophobes       saved  play    funeral "
"7385","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7386","  military strike kills  women  children  raid obama declined "
"7387","    cant      president bc    continuing  legacy   "
"7388","rt  genji skin   "
"7389","rt   cabinet pick paid  cultlike iranian exile     "
"7390","rt     smarter       openly admit   changing laws  help  friends borrow mo "
"7391","   yall   gonna kill   rt  vote"
"7392","rt   leftwing appeals court  nation denies  request  reinstate travel ban  maga trumptrain americafirst"
"7393","rt      time   able  tweet  sentence   complexity "
"7394","impeachtrumpnow family ties leave taxpayers  hook  eric   business trip   "
"7395","rt  meet linda sarsour  womens march organizer suing    muslim ban  "
"7396","rt  breaking  shithead  supporters  claim   animaladvocates  fuck  animalwelfare  fliushed "
"7397","rt  amazing diversity   senior staff  sworn  white    heights tie colors  "
"7398","rt  notice   deliberately  repeatedly pins  future harm   seattle judge goal   "
"7399","rt    remove usda animal welfare protections  cruelty  dogs  reminder   hes    dog "
"7400","rt  socalled judge  blocked  immigration   described  colleagues   mainstream republican "
"7401","aksibelataipan kuwait denies  imposed travel ban praised    "
"7402","rt garthdb rt robferdman bombshell  nytimes  propublica   didnt actually separate  fr "
"7403","rt      gop falsely claimed  obama "
"7404","rt  nailed   presidentbannon muslimban "
"7405","rt  thx   spread  word ucufefvote     ucufef       presidenttrum "
"7406","rt      stings  amp  co    women        ladies"
"7407","rt  hey liberals look   mirror   guaranteeing gop rule      maga  "
"7408","rt  thanks george  bush   judges  upheld obamacare  halted president  travel ban   wonder   "
"7409","  antiterrorism program  focus  islamists "
"7410","rt      cant  twitter  threaten  supporters children violence amp  doxxing  account final "
"7411","rt  saturday night live alec baldwin returns     melissa mccarthy steals    sean spicer "
"7412","rt   funny   heard  cut throat billionaire businessman  speak  god    president"
"7413","rt  exhibit   millions  russia   vodka  dworkinreport resistance trumprussia resist "
"7414","experts social media giants fight  antiterror plan  providing platform  terrorists  via "
"7415","rt   appeals court denies  request  reinstate travelban    theresistance usa"
"7416","rt           sick  winning   lost  popular vote   lost   court tw "
"7417","rt  exactly correct          understand president   "
"7418","rt   cant  walk  stairs snl rips     relationship  steve bannon "
"7419","rt  judge mocked     lifting muslim ban  fostered numerous immigrant children "
"7420","rt      putin suggests  isnt  innocent "
"7421","rt   petraeus warns congress      destroy world stability  via "
"7422","rt  winter  coming storm  brewing buckle    isnt   resist "
"7423","rt     trudeau push pipelines china builds worlds largest solar farm  nodapl "
"7424","rt     learn    truth stated  washington ag bob ferguson      law  eve "
"7425","moma protests  entry ban  dhakatribune "
"7426","rt   lawsuit   filed monday   release   tax returns "
"7427"," appeals court denies request  restore  immigration ban "
"7428","rt    networks   bank      campaign dont  realize     grief"
"7429","rt  caroline kennedy   america  approach  alarming  via "
"7430","rt   appeals court denies request  restore  immigration ban   spends day tweeting  federal judge "
"7431","rt   leftwing appeals court  nation denies  request  reinstate travel ban  maga trumptrain americafirst"
"7432","rt  president  looking   ordinary joe "
"7433","rt     female labour mps saying theyll empty chair    comes  parliament    "
"7434","rt      judge   socalled judge     socalled president socalledpresident retweet"
"7435","rt      amp  hate     bed  russia   supporters  unable  grasp  global conflict "
"7436","rt   majority saying  visit   cancelled    larger  brexit  referendum democracy"
"7437","rt    oppose   please rt               gethimout"
"7438","rt    notice president   speaking    slowly  deliberately        chance  understanding "
"7439","snl goes       owned   propaganda machine   ppl formed  clinton      rig  election"
"7440","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"7441"," spy   eyes hillarys server exposed  spyware spies   gov  trumpryangrowdy republican socialist party"
"7442","alec baldwins     snl prepare    war "
"7443","rt  alecbaldwin  snl      favorite comedians    liked        "
"7444","mashable  alec baldwins     snl prepare    war  via twitter  "
"7445","rt  socalled judge  blocked  immigration   described  colleagues   mainstream republican "
"7446","snl   bannon call world leaders  cnn "
"7447","rt    sink intrumps defense  journalists  killed  russia      plenty  killing  "
"7448","proudlyliberal rt donnabrazile sunday reading    steve bannon  ideologist   entire world "
"7449","essay  broken politics        brexit syria yemen isis inequality populism "
"7450","rt  russian intel agent  leaked   prostitute blackmail found dead    car "
"7451","rt     administration putting russia  notice  ukraine    mike pence coming  "
"7452","rt  warren shreds gop  supporting  rhetoric  "
"7453","uaufef president  bid  reinstate travel ban rejected  court  "
"7454","rt  breaking   iran  chance  defied   heamp   imposing  sanctions "
"7455","rt  kristen mocked       gay  snl monologue    fave "
"7456","rt        friend  mine        time  support   friends  tom bra "
"7457","rt   thats   taypayers  paying  security   wh  tower amp  maralago   imagine    obama  clinton"
"7458","   swedens deputy pm trolling    facebook photo  womanrights stockholm "
"7459","rt   question         immigrants   wife   "
"7460","rt   twitter censoring  supporters  contributing   fakenews phenominon "
"7461","rt  experts social media giants fight  antiterror plan  providing platform  terrorists   "
"7462","rt  kristen mocked       gay  snl monologue    fave "
"7463","rt  biafrans chose  celebrate    nigeria government chose  spill  blood   "
"7464","secret service agent    wouldnt   bullet      dose  instant karma "
"7465","rt  rt       impeached         impeached"
"7466","mashable  alec baldwins     snl prepare    war   "
"7467","proudlyliberal rt donnabrazile  commemorate black history month  administration decrees  white supr "
"7468","legal activists volunteer  fight   travel ban "
"7469","rt  breaking  buzzfeed  sued   russia fake news story  "
"7470","rt  watch   bannon  grim reaper   war  foreign leaders  snl  "
"7471"," wut  youre  worst  bot  twitter  youre admitting  youre  troll "
"7472","rt  socalled judge  blocked  immigration   described  colleagues   mainstream republican "
"7473"," york bodegas shutting   protest  immigration  "
"7474","rt   socalled president    surprised  learn  judges     bankruptcies amp  divorces   socalled president"
"7475"," considering  ideas  rule  law   id look  carefully     nominees"
"7476","rt  breaking appeals court denies  request  stay  injunction  immigration     remains sus "
"7477","rt  look forward     shitfit  kristen stewart    hours "
"7478","rt           sick  winning   lost  popular vote   lost   court tw "
"7479","rt   stampede  liberals arriving   anti brexittrump protest  "
"7480","melissa mccarthy plays sean spicer alec baldwin reprises   role  saturday night live  "
"7481","rt   pence defends president  attack  socalled judge  hes speaking  mind    interview  "
"7482"," added  video    playlist  se   days till  america"
"7483","rt  schumer torches   attacking judge  halted  immigration ban  "
"7484","rt  tonight  snl melissa mccarthy  seanspicer  lights   internet explaining  fear  radical moos "
"7485","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"7486","rt   doin  weekly podcast    gripe wfamous ppl   amp  hopefully  folks informed st episode ne "
"7487","rt     backlash  unamerican comparisons  russian killers  "
"7488","rt  pgs  trumprussia ties  rt      theresistance  dworkinreport trumpleaks resist impeachtrump rt "
"7489","rt  gotta  todays  cartoon  travelban democracy constitution "
"7490","whos  third black guy sums   tbh "
"7491","rt  melania  immensely happy  morning   promised   wont  deported  week"
"7492","rt  watch   bannon  grim reaper   war  foreign leaders  snl  "
"7493","rt         tried  delegitimize  press scientists  intel community election results  judiciary branch"
"7494","rt   twitter rally  rt    support  djt  sunday feb th  super bowl half time   "
"7495","rt  appellate court denies  attempt  reinstate  muslimban     unconstitutional  somet "
"7496","rt     courts    obama issues  travel ban   perfectly fine      exact     illegal"
"7497","rt   patriotic american     congress   digging    russia  stinks "
"7498","rt     tell  difference  truth   lies  opinion  "
"7499","rt  court denies justice departments request  immediately reinstate  travel ban "
"7500","rt  aids quilt creator cleve jones  queer activism   age   ubufef  "
"7501","rt  james robart judge derided     fairness  helping children "
"7502","  gonna build  wall   build  wall           world   "
"7503","rt   administrations request  immediate administrative stay denied "
"7504","rt      walked    daytoday   empire  records   close  remains   "
"7505","   dont     happen  bannontrump  remain  america  burn   brightly  flame  "
"7506","rt  appeals court  denied dojs appeal   eo   liberal    acting  activists instead  jud "
"7507","rt   leftwing appeals court  nation denies  request  reinstate travel ban  maga trumptrain americafirst"
"7508","rt    white house female staff  dresslikeawoman           actlikeapresident"
"7509","rt  melissa mccarthy skewers sean spicer alec baldwin reprises  role bannon portrayed  grim reaper  snl "
"7510","rt   reason  believe      saudi arabia money hence  disregard  saudi role  global terrorism "
"7511","  antiterrorism program  focus  islamists "
"7512","rt   arizona women cant understand   wouldnt    "
"7513","rt   gop leadership  legislative branch  ceded  power   thankfully    branch  pi "
"7514","rt   lapel pin  snls president    russian flag "
"7515","water protection  canada    threat   deregulation agenda   council  canadians "
"7516","  considering   help    office articles        look petty amp  sour"
"7517","campaign contributions     kids futures   votenodevos"
"7518","    sevatheboy  raesremmurd sremmlife jxmmis fungswae   "
"7519","rt   moral equivalency   continues  draw   usa  russia  disgusting  inaccurate "
"7520","rt   twitter criticism  judge  limits  staffs influence  chicago tribune    "
"7521","rt  obama banned iraqis  coming        months  judges stayed quiet       "
"7522","startup street nurx takes    distributing free contraceptives    via "
"7523","rt       challenged  fed courts   gorsuch confirmed fast "
"7524","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"7525","rt     day itll cost  nation    melania    york city    "
"7526","rt  retweet      blame   hate crimes committed  night   supporters "
"7527","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"7528","rt  constitutional crisis  happens   decides  ignore  judges ruling "
"7529","kristen stewart blasts      hosts snl  tweeted    times "
"7530","rt  presidentbannon thinkingwow   dumber      easy "
"7531","rt      countrys  innocent  cnn "
"7532","rt  rep darrell issa  supports  muslimban issa won ca   votes      flip  "
"7533","rt  kristen mocked       gay  snl monologue    fave "
"7534","rt  please share    threw shade     classiest    via "
"7535","rt    found   packs  heroin  drug bust  "
"7536","rt             boobs  anal"
"7537","oreilly told   putin   killer  reply    country   innocent "
"7538","rt  notice    word attack   stands    taxpayer "
"7539","rt  michael moore trolls   tweet attacking judge thank  socalled president  "
"7540","rt   democrats  declaring war   theyre terrified "
"7541","rt  experts social media giants fight  antiterror plan  providing platform  terrorists   "
"7542","rt  bill oreilly called putin  killer  suggested   isnt  innocent  "
"7543","rt   immigration ban leaves syrian family stuck  jordan "
"7544","rt  monthly cost  guarding  tower  million section     homeless nyc families  million"
"7545","rt  watch   bannon  grim reaper   war  foreign leaders  snl  "
"7546","rt  kristen mocked       gay  snl monologue    fave "
"7547","rt  kristen stewart slams     shes   gay  drops  fbomb  snl "
"7548","rt     named     lawsuits   inauguration  inauguration crowd  low   lawsuits  tremendous"
"7549","rt    illegitimate  mentally incompetent  serve  socalledpresident "
"7550","rt   melania  stays   tower   yr term   cost taxpayers approx     populist  voters "
"7551","rt  experts social media giants fight  antiterror plan  providing platform  terrorists "
"7552","rt   modern fascism    fight    read     observer  "
"7553","rt     fascist    champion   forgotten millions  john daniel davidson "
"7554","live obama welcomes presidentelect       white house "
"7555","rt   awkward moment    happy friends day video  facebook         friends"
"7556"," utter rubbish    champion   "
"7557"," fight tyranny  king bannon   faithful queen  "
"7558","rt  kristen mocked       gay  snl monologue    fave "
"7559"," toronto   mil ppl lg immig pop  muslim total  homicides  yr ranked    livable cities  makes  "
"7560","rt  notice    word attack   stands    taxpayer "
"7561","rt   texas sheriff  looking  aid president  dhs  deporting illegal immigrants  via "
"7562","rt   altright cadres suggest putin  antitrump protests altright    page  soros russiabashers "
"7563","rt  focus    day  win  house   hold  accountable "
"7564","rt   appeals courts late night ruling  upholds judge robarts block   refugee amp  traveller ban window  "
"7565","refugees travelban  claim hes  subject  courts paves    dictatorship    "
"7566","    pig hog"
"7567","rt   federal appeals court rejects  request   department  justice  immediately reinstate  travel ban "
"7568","rt  nfl tom brady eats organic clean foods amp  superfoods   winning smart guy  trumptrain presidenttrump "
"7569","rt  trust records  traitor    closely tied   empire notmypresident theresistance  "
"7570","rt   administrations request  immediate administrative stay denied "
"7571","rt  breaking appeals court denies  admins request  reinstate muslimban ie  lost  court battle "
"7572","rt    tv newspoll   americans dont approve    switch  outdoor channel    solved"
"7573","rt     silent   deaths  terror attack   neighbors  quebec  tweeting   injury  pari "
"7574"," cabinet pick paid  cultlike iranian exile   jongambrellap   ap"
"7575","rt    boycott  speech  labours female mps "
"7576","rt     won  white house  stunned  world  via "
"7577","rt   ubers ceo   apparently   disastrous phone call deleteuber"
"7578","rt  snl goes     melissa mccarthy  sean spicer "
"7579","rt    survivor cheers  suspension   immigration ban  opinion  "
"7580","rt     pay   wall      gop  proposing  "
"7581","rt  documents confirm   benefiting   business bdjmag "
